match_id,h_id,h_name,a_id,a_name,h_p1_id,h_p1_name,h_p1_pos,h_p1_t,h_p2_id,h_p2_name,h_p2_pos,h_p2_t,h_p3_id,h_p3_name,h_p3_pos,h_p3_t,h_p4_id,h_p4_name,h_p4_pos,h_p4_t,h_p5_id,h_p5_name,h_p5_pos,h_p5_t,h_p6_id,h_p6_name,h_p6_pos,h_p6_t,h_p7_id,h_p7_name,h_p7_pos,h_p7_t,h_p8_id,h_p8_name,h_p8_pos,h_p8_t,h_p9_id,h_p9_name,h_p9_pos,h_p9_t,h_p10_id,h_p10_name,h_p10_pos,h_p10_t,h_p11_id,h_p11_name,h_p11_pos,h_p11_t,h_p12_id,h_p12_name,h_p12_pos,h_p12_t,h_p13_id,h_p13_name,h_p13_pos,h_p13_t,h_p14_id,h_p14_name,h_p14_pos,h_p14_t,a_p1_id,a_p1_name,a_p1_pos,a_p1_t,a_p2_id,a_p2_name,a_p2_pos,a_p2_t,a_p3_id,a_p3_name,a_p3_pos,a_p3_t,a_p4_id,a_p4_name,a_p4_pos,a_p4_t,a_p5_id,a_p5_name,a_p5_pos,a_p5_t,a_p6_id,a_p6_name,a_p6_pos,a_p6_t,a_p7_id,a_p7_name,a_p7_pos,a_p7_t,a_p8_id,a_p8_name,a_p8_pos,a_p8_t,a_p9_id,a_p9_name,a_p9_pos,a_p9_t,a_p10_id,a_p10_name,a_p10_pos,a_p10_t,a_p11_id,a_p11_name,a_p11_pos,a_p11_t,a_p12_id,a_p12_name,a_p12_pos,a_p12_t,a_p13_id,a_p13_name,a_p13_pos,a_p13_t,a_p14_id,a_p14_name,a_p14_pos,a_p14_t
505326,158,Blackburn,161,Wolves,3874,Paul Robinson,Goalkeeper,1.0,1199,Míchel Salgado,Defender,1.0,35460,David Junior Hoilett,Midfielder,1.0,33748,Martin Olsson,Defender,1.0,39935,Steven Nzonzi,Defender,1.0,407,David Dunn,Midfielder,1.0,4086,Brett Emerton,Midfielder,0.5083333333333333,86593,Grant Hanley,Defender,1.0,438,Jason Roberts,Forward,1.0,38272,Mauro Formica,Forward,0.9375925925925926,1158,Morten Gamst Pedersen,Midfielder,0.8020370370370371,91273,Rubén Rochina,Midfielder,0.4916666666666667,13882,David Goodwillie,Midfielder,0.1979629629629629,23343,Nick Blackman,Forward,0.062407407407407356,21571,Wayne Hennessey,Goalkeeper,1.0,11502,Richard Stearman,Defender,0.51962962962962,15764,Stephen Ward,Defender,1.0,8217,Matthew Jarvis,Midfielder,0.8472222222222222,8680,Roger Johnson,Defender,1.0,14171,Jamie O'Hara,Midfielder,1.0,8213,Karl Henry,Midfielder,1.0,8287,Christophe Berra,Defender,1.0,9766,Steven Fletcher,Forward,1.0,11718,Kevin Doyle,Forward,1.0,9623,Stephen Hunt,Midfielder,1.0053703703703705,7579,Kevin Foley,Defender,0.48037037037037034,9495,George Elokobi,Midfielder,0.1527777777777778,17536,Stefan Maierhofer,Midfielder,-0.00537037037037047
505327,170,Fulham,24,Aston Villa,3852,Mark Schwarzer,Goalkeeper,1.0,1742,Aaron Hughes,Defender,1.0,824,Damien Duff,Midfielder,1.0,1045,John Arne Riise,Defender,1.0,11234,Philippe Senderos,Defender,1.0,4731,Dickson Etuhu,Midfielder,1.0,3165,Brede Hangeland,Defender,1.0,76,Danny Murphy,Midfielder,1.0,5025,Bobby Zamora,Forward,0.824629629629629,16369,Clint Dempsey,Midfielder,1.0,4683,Andrew Johnson,Forward,1.0,12187,Mousa Dembélé,Forward,0.1753703703703704,,,,0.0,,,,0.0,1034,Shay Given,Goalkeeper,1.0,1207,Luke Young,Defender,1.0,9743,Charles N'Zogbia,Midfielder,0.7455555555555555,7864,Stephen Warnock,Defender,1.0,8148,James Collins,Defender,1.0,2216,Stiliyan Petrov,Midfielder,1.0053703703703705,831,Richard Dunne,Defender,1.0,27213,Fabian Delph,Midfielder,1.0,3116,Darren Bent,Forward,1.0,14036,Gabriel Agbonlahor,Forward,1.0,4,Emile Heskey,Forward,1.0,42147,Marc Albrighton,Midfielder,0.2544444444444445,70099,Ciaran Clark,Midfielder,-0.00537037037037047,,,,0.0
505329,26,Liverpool,16,Sunderland,2987,Pepe Reina,Goalkeeper,1.0,94030,Jon Flanagan,Defender,1.0,14230,José Enrique,Defender,1.0,68659,Jordan Henderson,Midfielder,0.67777777777777,1329,Jamie Carragher,Defender,1.0,31451,Lucas Leiva,Midfielder,1.0,7398,Daniel Agger,Defender,1.0,8327,Charlie Adam,Midfielder,1.0,22221,Luis Suárez,Forward,0.835925925925926,23383,Andy Carroll,Forward,1.0,5641,Stewart Downing,Midfielder,1.0,7516,Dirk Kuyt,Midfielder,0.3222222222222222,10111,Raul Meireles,Forward,0.16407407407407404,,,,0.0,52197,Simon Mignolet,Goalkeeper,1.0,18181,Phil Bardsley,Defender,1.0,34876,Ahmed El Mohamady,Midfielder,1.0,8058,Kieran Richardson,Defender,1.0,1019,Wes Brown,Defender,1.0,69867,Jack Colback,Midfielder,1.0,14061,Stéphane Sessegnon,Midfielder,1.0,11235,Sebastian Larsson,Midfielder,0.9037037037037037,8243,Anton Ferdinand,Defender,1.0,10785,Asamoah Gyan,Forward,0.7342592592592592,14268,Lee Cattermole,Midfielder,1.0,96084,Dong-Won Ji,Forward,0.26574074074074083,8238,David Vaughan,Midfielder,0.09629629629629632,,,,0.0
505331,167,Man City,259,Swansea,8786,Joe Hart,Goalkeeper,1.0,14168,Micah Richards,Defender,1.0,6042,Gaël Clichy,Defender,1.0,14053,Yaya Touré,Midfielder,1.0,10136,Vincent Kompany,Defender,1.0,4608,Nigel de Jong,Midfielder,0.6664814814814,188,Gareth Barry,Midfielder,1.0,8137,Joleon Lescott,Defender,1.0,24845,Edin Dzeko,Forward,1.0,14102,David Silva,Forward,0.9149999999999999,14269,Adam Johnson,Forward,0.835925925925926,14260,Sergio Agüero,Midfielder,0.33351851851851855,77564,Stefan Savic,Forward,0.16407407407407404,4511,James Milner,Forward,0.08500000000000008,19270,Michel Vorm,Goalkeeper,1.0,29820,Angel Rangel,Defender,1.0,8728,Alan Tate,Defender,1.0,13814,Nathan Dyer,Midfielder,0.9037037037037037,76499,Steven Caulker,Defender,1.0,14814,Kemy Agustien,Midfielder,1.0,12779,Scott Sinclair,Midfielder,1.0,8334,Stephen Dobbie,Midfielder,1.0,8408,Ashley Williams,Defender,1.0,10816,Danny Graham,Forward,1.0,8730,Leon Britton,Midfielder,0.7229629629629,23444,Joe Allen,Midfielder,0.2770370370370371,7573,Leroy Lita,Midfielder,0.09629629629629632,,,,0.0
505335,23,Newcastle,13,Arsenal,22319,Tim Krul,Goalkeeper,1.0,23683,Danny Simpson,Defender,1.0,4835,Joey Barton,Midfielder,1.0,7758,Ryan Taylor,Defender,1.0,6479,Steven Taylor,Defender,1.0,12376,Yohan Cabaye,Midfielder,0.9037037037037037,2859,Fabricio Coloccini,Defender,1.0,19396,Cheick Tioté,Midfielder,1.0,92,Shola Ameobi,Forward,0.8133333333333334,14075,Jonás Gutiérrez,Midfielder,1.0,21457,Demba Ba,Forward,0.5083333333333333,22818,Gabriel Obertan,Forward,0.4916666666666667,8118,Leon Best,Forward,0.18666666666666665,3187,Peter Løvenkrands,Midfielder,0.09629629629629632,73379,Wojciech Szczesny,Goalkeeper,1.0,19471,Bacary Sagna,Defender,1.0,845,Tomas Rosicky,Midfielder,0.948888888888889,27550,Kieran Gibbs,Defender,1.0,30051,Laurent Koscielny,Defender,1.0,10209,Thomas Vermaelen,Defender,1.0,17740,Gervinho,Forward,1.0,10599,Alexandre Song,Midfielder,1.0,4599,Andrey Arshavin,Forward,0.677777777777777,4564,Robin van Persie,Forward,1.0,26820,Aaron Ramsey,Forward,1.0392592592592593,13796,Theo Walcott,Forward,0.3222222222222222,69740,Emmanuel Frimpong,Midfielder,0.051111111111110996,11680,Johan Djourou,Forward,-0.03925925925925933
505337,171,QPR,92,Bolton,8111,Paddy Kenny,Goalkeeper,1.0,93,Kieron Dyer,Defender,0.067777777777777,8211,Clint Hill,Defender,1.0,5837,Shaun Derry,Midfielder,1.0,6153,Fitz Hall,Defender,1.0,1912,Jay Bothroyd,Forward,1.0,8147,Danny Gabbidon,Defender,1.0,57601,Alejandro Faurlin,Midfielder,1.0,365,Tommy Smith,Forward,1.0,13820,DJ Campbell,Forward,1.0,24642,Adel Taarabt,Forward,0.8020370370370371,8444,Bradley Orr,Defender,0.9322222222222223,13386,Ákos Buzsáky,Forward,0.1979629629629629,,,,0.0,2366,Jussi Jääskeläinen,Goalkeeper,1.0,7227,Grétar Steinsson,Defender,1.0,7883,Paul Robinson,Defender,1.0,8941,Chris Eagles,Midfielder,0.9037037037037037,11981,Gary Cahill,Defender,1.0,21422,Fabrice Muamba,Midfielder,1.0,3921,Zat Knight,Defender,1.0,5987,Nigel Reo-Coker,Midfielder,0.9262962962962962,2402,Ivan Klasnic,Forward,0.9601851851851853,2910,Martin Petrov,Midfielder,1.0,233,Kevin Davies,Forward,1.0,67922,Mark Davies,Midfielder,0.09629629629629632,6008,Darren Pratley,Midfielder,0.07370370370370383,828,Robbie Blake,Forward,0.03981481481481475
505339,96,Stoke,15,Chelsea,23122,Asmir Begovic,Goalkeeper,1.0,4145,Robert Huth,Defender,1.0,23446,Marc Wilson,Defender,1.0,3864,Jermaine Pennant,Midfielder,1.0,29798,Ryan Shawcross,Defender,1.0,1079,Rory Delap,Midfielder,0.7907407407407407,8505,Glenn Whelan,Midfielder,1.0,112,Jonathan Woodgate,Defender,1.0,12726,Kenwyne Jones,Forward,0.9601851851851853,3860,Jonathan Walters,Forward,1.0,332,Matthew Etherington,Midfielder,0.6890740740740741,8176,Dean Whitehead,Midfielder,0.31092592592592594,7750,Danny Pugh,Midfielder,0.20925925925925926,33276,Ryan Shotton,Forward,0.03981481481481475,6775,Petr Cech,Goalkeeper,1.0,10685,José Bosingwa,Defender,1.0,28191,Ramires,Midfielder,1.0,342,Ashley Cole,Defender,1.0,10132,Alex,Defender,1.0,15464,John Obi Mikel,Midfielder,1.0,48,Frank Lampard,Midfielder,1.0,70,John Terry,Defender,1.0,4056,Fernando Torres,Forward,0.9940740740740741,8028,Salomon Kalou,Forward,0.8472222222222222,1563,Florent Malouda,Forward,0.7342592592592,527,Nicolas Anelka,Forward,0.26574074074074083,4384,Didier Drogba,Forward,0.1527777777777778,4490,Yossi Benayoun,Forward,0.00592592592592589
505341,30,Tottenham,31,Everton,3426,Brad Friedel,Goalkeeper,1.0,69778,Kyle Walker,Defender,1.0,11580,Benoit Assou-Ekotto,Defender,1.0,5625,Aaron Lennon,Midfielder,0.8698148148148148,4905,Michael Dawson,Defender,1.0,36849,Jake Livermore,Midfielder,1.0,20874,Luka Modric,Midfielder,1.0,14805,Younes Kaboul,Defender,1.0,6363,Emmanuel Adebayor,Forward,0.9714814814814815,4343,Rafael van der Vaart,Forward,1.0,13812,Gareth Bale,Midfielder,1.0,3553,Steven Pienaar,Midfielder,0.13018518518518518,7336,Roman Pavlyuchenko,Forward,0.0285185185185185,,,,0.0,5582,Tim Howard,Goalkeeper,1.0,682,Phil Neville,Defender,1.0,3433,Landon Donovan,Midfielder,1.0,8222,Leighton Baines,Defender,1.0,6023,John Heitinga,Defender,1.0,22738,Marouane Fellaini,Midfielder,1.0,6115,Tim Cahill,Midfielder,1.0,528,Sylvain Distin,Defender,0.6551851851851852,110,Louis Saha,Forward,1.0,14114,Victor Anichebe,Forward,0.7568518518518518,7865,Diniyar Bilyaletdinov,Midfielder,0.9149999999999999,75692,Shane Duffy,Defender,0.3448148148148148,23170,Royston Drenthe,Forward,0.24314814814814822,69627,Magaye Gueye,Midfielder,0.08500000000000008
505344,175,West Brom,32,Man Utd,11530,Ben Foster,Goalkeeper,1.0,3217,Steven Reid,Defender,0.94888888888888,4965,Nicky Shorey,Defender,1.0,8507,Chris Brunt,Midfielder,1.0,14192,Gabriel Tamas,Defender,1.0,5741,Paul Scharner,Midfielder,1.0,25642,Youssouf Mulumbu,Midfielder,1.0,6695,Jonas Olsson,Defender,1.0,13798,Shane Long,Forward,0.9827777777777779,14969,Somen Tchoyi,Forward,1.0,10498,James Morrison,Midfielder,1.0,28720,Gonzalo Jara,Defender,0.051111111111110996,8623,Simon Cox,Forward,0.01722222222222214,,,,0.0,79554,David de Gea,Goalkeeper,1.0,71345,Chris Smalling,Defender,1.0,44031,Fabio,Defender,1.0,19104,Nani,Midfielder,1.0,928,Rio Ferdinand,Defender,0.8472222222222222,69956,Tom Cleverley,Midfielder,1.0,21723,Anderson,Midfielder,1.0,9685,Nemanja Vidic,Defender,0.576111111111,39308,Danny Welbeck,Forward,0.7229629629629629,3859,Wayne Rooney,Forward,1.0,8166,Ashley Young,Midfielder,1.0,22079,Jonny Evans,Defender,0.42388888888888887,2213,Dimitar Berbatov,Forward,0.2770370370370371,81726,Phil Jones,Defender,0.1527777777777778
505346,194,Wigan,168,Norwich,5347,Ali Al Habsi,Goalkeeper,1.0,515,Emmerson Boyce,Defender,1.0,38671,Maynor Figueroa,Defender,1.0,19674,Jordi Gómez,Midfielder,0.5874074074074,5048,Gary Caldwell,Defender,1.0,10254,Ben Watson,Midfielder,1.0,31281,James McCarthy,Midfielder,1.0,33064,Victor Moses,Midfielder,1.0,44197,Piscu,Defender,0.9149999999999999,26734,Franco Di Santo,Forward,1.0,27188,Mohamed Diamé,Midfielder,1.0,25011,Hugo Rodallega,Midfielder,0.4125925925925926,20191,Ronnie Stam,Defender,0.08500000000000008,,,,0.0,8643,John Ruddy,Goalkeeper,1.0,8684,Russell Martin,Defender,1.0,10872,David Fox,Midfielder,1.0,8477,Marc Tierney,Defender,1.0,31856,Ritchie de Laet,Defender,1.0,17585,Zak Whitbread,Defender,0.8020370370370,8802,Steve Morison,Forward,0.8472222222222222,9746,Andrew Crofts,Midfielder,1.0,13447,Andrew Surman,Midfielder,0.835925925925926,19541,Wes Hoolahan,Forward,1.0,8695,Grant Holt,Forward,1.0,8487,Leon Barnett,Defender,0.1979629629629629,30255,Elliott Bennett,Midfielder,0.16407407407407404,23348,Anthony Pilkington,Forward,0.1527777777777778
