match_id,h_id,h_name,a_id,a_name,h_p1_id,h_p1_name,h_p1_pos,h_p1_t,h_p2_id,h_p2_name,h_p2_pos,h_p2_t,h_p3_id,h_p3_name,h_p3_pos,h_p3_t,h_p4_id,h_p4_name,h_p4_pos,h_p4_t,h_p5_id,h_p5_name,h_p5_pos,h_p5_t,h_p6_id,h_p6_name,h_p6_pos,h_p6_t,h_p7_id,h_p7_name,h_p7_pos,h_p7_t,h_p8_id,h_p8_name,h_p8_pos,h_p8_t,h_p9_id,h_p9_name,h_p9_pos,h_p9_t,h_p10_id,h_p10_name,h_p10_pos,h_p10_t,h_p11_id,h_p11_name,h_p11_pos,h_p11_t,h_p12_id,h_p12_name,h_p12_pos,h_p12_t,h_p13_id,h_p13_name,h_p13_pos,h_p13_t,h_p14_id,h_p14_name,h_p14_pos,h_p14_t,a_p1_id,a_p1_name,a_p1_pos,a_p1_t,a_p2_id,a_p2_name,a_p2_pos,a_p2_t,a_p3_id,a_p3_name,a_p3_pos,a_p3_t,a_p4_id,a_p4_name,a_p4_pos,a_p4_t,a_p5_id,a_p5_name,a_p5_pos,a_p5_t,a_p6_id,a_p6_name,a_p6_pos,a_p6_t,a_p7_id,a_p7_name,a_p7_pos,a_p7_t,a_p8_id,a_p8_name,a_p8_pos,a_p8_t,a_p9_id,a_p9_name,a_p9_pos,a_p9_t,a_p10_id,a_p10_name,a_p10_pos,a_p10_t,a_p11_id,a_p11_name,a_p11_pos,a_p11_t,a_p12_id,a_p12_name,a_p12_pos,a_p12_t,a_p13_id,a_p13_name,a_p13_pos,a_p13_t,a_p14_id,a_p14_name,a_p14_pos,a_p14_t
958426,13,Arsenal,29,West Ham,6775,Petr Cech,Goalkeeper,1.0,11367,Mathieu Debuchy,Defender,0.7455555555555555,30051,Laurent Koscielny,Defender,1.0,6292,Per Mertesacker,Defender,1.0,23072,Nacho Monreal,Defender,1.0,69738,Francis Coquelin,Midfielder,0.643888888888889,26820,Aaron Ramsey,Midfielder,1.0,84146,Alex Oxlade-Chamberlain,Forward,1.0,13756,Mesut Özil,Forward,1.0,4522,Santi Cazorla,Forward,1.0,24444,Olivier Giroud,Forward,1.0,13796,Theo Walcott,Midfielder,0.35611111111111104,25244,Alexis Sánchez,Defender,0.2544444444444445,,,,0.0,73399,Adrián,Goalkeeper,1.0,33930,James Tomkins,Defender,1.0,23547,Angelo Ogbonna,Defender,1.0,19277,Winston Reid,Defender,1.0,68049,Aaron Cresswell,Defender,1.0,66741,Cheikhou Kouyaté,Midfielder,1.0,260779,Reece Oxford,Midfielder,0.8811111111111111,8247,Mark Noble,Midfielder,1.0,14524,Mauro Zárate,Forward,0.70037037037037,83297,Diafra Sakho,Forward,1.0053703703703705,14058,Dimitri Payet,Forward,1.0,8217,Matthew Jarvis,Forward,0.2996296296296297,1815,Kevin Nolan,Midfielder,0.11888888888888893,28969,Modibo Maiga,Forward,-0.00537037037037047
958427,183,Bournemouth,24,Aston Villa,14111,Artur Boruc,Goalkeeper,1.0,9298,Simon Francis,Defender,1.0,13932,Tommy Elphick,Defender,1.0,68662,Steve Cook,Defender,1.0,24827,Charlie Daniels,Defender,1.0,68648,Matt Ritchie,Midfielder,1.0,13447,Andrew Surman,Midfielder,1.0,13846,Dan Gosling,Midfielder,0.9375925925925926,14000,Marc Pugh,Midfielder,0.7681481481481482,81026,Joshua King,Forward,0.5874074074074,134115,Callum Wilson,Forward,1.0,23321,Yann Kermorgant,Forward,0.4125925925925926,29814,Max-Alain Gradel,Midfielder,0.23185185185185175,83257,Eunan O'Kane,Midfielder,0.062407407407407356,28746,Brad Guzan,Goalkeeper,1.0,79967,Leandro Bacuna,Defender,1.0,70099,Ciaran Clark,Defender,1.0,14168,Micah Richards,Defender,1.0,134902,Jordan Amavi,Defender,1.0,101017,Jordan Veretout,Midfielder,0.7907407407407407,80464,Idrissa Gueye,Midfielder,1.0,79050,Ashley Westwood,Midfielder,1.0,67491,Jordan Ayew,Forward,0.6551851851851852,14036,Gabriel Agbonlahor,Forward,1.0,12779,Scott Sinclair,Forward,0.8698148148148148,33403,Rudy Gestede,Forward,0.3448148148148148,26720,Carlos Sánchez,Midfielder,0.20925925925925926,8058,Kieran Richardson,Forward,0.13018518518518518
958428,15,Chelsea,259,Swansea,73798,Thibaut Courtois,Goalkeeper,1.0,15338,Branislav Ivanovic,Defender,1.0,11981,Gary Cahill,Defender,1.0,70,John Terry,Defender,1.0,25931,César Azpilicueta,Defender,1.0,38128,Nemanja Matic,Midfielder,1.0,8040,Cesc Fàbregas,Midfielder,0.8472222222222222,29463,Willian,Forward,0.9375925925925926,41065,Oscar,Forward,0.5987037037037037,33404,Eden Hazard,Forward,1.0,24248,Diego Costa,Forward,1.0,23122,Asmir Begovic,Forward,0.40129629629629626,106086,Kurt Zouma,Midfielder,0.1527777777777778,18701,Radamel Falcao,Forward,0.062407407407407356,20973,Lukasz Fabianski,Goalkeeper,1.0,34131,Kyle Naughton,Defender,1.0,44847,Federico Fernández,Defender,1.0,8408,Ashley Williams,Defender,1.0,31558,Neil Taylor,Defender,1.0,40027,Jonjo Shelvey,Midfielder,1.0,42916,Ki Sung-yueng,Midfielder,0.4631481481481481,30060,André Ayew,Forward,1.0,69346,Gylfi Sigurdsson,Forward,1.0,28416,Jefferson Montero,Forward,0.7907407407407407,14308,Bafétimbi Gomis,Forward,0.8811111111111111,22847,Jack Cork,Midfielder,0.5368518518518519,4759,Wayne Routledge,Forward,0.20925925925925926,43922,Éder,Forward,0.11888888888888893
958429,31,Everton,27,Watford,5582,Tim Howard,Goalkeeper,1.0,31826,Séamus Coleman,Defender,1.0,101374,John Stones,Defender,1.0,6105,Phil Jagielka,Defender,1.0,131523,Brendan Galloway,Defender,0.70037037037037,31281,James McCarthy,Midfielder,1.0,188,Gareth Barry,Midfielder,1.0,15834,Kevin Mirallas,Forward,0.8585185185185185,92547,Ross Barkley,Forward,1.0,69956,Tom Cleverley,Forward,1.0,78498,Romelu Lukaku,Forward,1.0166666666666666,8943,Arouna Koné,Defender,0.2996296296296297,83455,Bryan Oviedo,Forward,0.14148148148148154,9314,Steven Naismith,Forward,-0.016666666666666607,10133,Heurelho Gomes,Goalkeeper,1.0,91434,Allan-Roméo Nyom,Defender,1.0,27349,Sebastian Prödl,Defender,1.0,25241,Craig Cathcart,Defender,1.0,21499,José Holebas,Defender,1.0,9795,Ikechi Anya,Midfielder,1.0,33590,Etienne Capoue,Midfielder,1.0,12462,Valon Behrami,Midfielder,0.8811111111111111,34333,Miguel Layún,Midfielder,0.6551851851851852,14259,José Manuel Jurado,Forward,0.8246296296296296,25832,Troy Deeney,Forward,1.0,71343,Juan Carlos Paredes,Midfielder,0.3448148148148148,31376,Odion Ighalo,Forward,0.1753703703703704,10254,Ben Watson,Midfielder,0.11888888888888893
958430,14,Leicester,16,Sunderland,19545,Kasper Schmeichel,Goalkeeper,1.0,31856,Ritchie de Laet,Defender,0.835925925925926,4145,Robert Huth,Defender,1.0,8157,Wes Morgan,Defender,1.0,91822,Jeffrey Schlupp,Defender,1.0,42147,Marc Albrighton,Midfielder,1.0,75138,Daniel Drinkwater,Midfielder,1.0,32018,Andy King,Midfielder,1.0,104749,Riyad Mahrez,Midfielder,0.8585185185185185,26222,Shinji Okazaki,Forward,1.0,106981,Jamie Vardy,Forward,0.9149999999999999,29574,Yohan Benalouane,Defender,0.16407407407407404,12431,Christian Fuchs,Midfielder,0.14148148148148154,114075,N'Golo Kanté,Forward,0.08500000000000008,43948,Costel Pantilimon,Goalkeeper,1.0,8236,Billy Jones,Defender,0.5987037037037037,14805,Younes Kaboul,Defender,1.0,71268,Sebastián Coates,Defender,1.0,78221,Patrick van Aanholt,Defender,1.0,14268,Lee Cattermole,Midfielder,0.3275925925925926,14269,Adam Johnson,Forward,1.0,11235,Sebastian Larsson,Forward,1.0,33833,Jack Rodwell,Forward,1.0,27512,Jeremain Lens,Forward,1.0,2837,Jermain Defoe,Forward,1.0,9766,Steven Fletcher,Midfielder,0.6724074074074073,73921,Adam Matthews,Defender,0.40129629629629626,,,,0.0
958431,32,Man Utd,30,Tottenham,33831,Sergio Romero,Goalkeeper,1.0,23220,Matteo Darmian,Defender,0.9037037037037037,70033,Daley Blind,Defender,1.0,71345,Chris Smalling,Defender,1.0,118244,Luke Shaw,Defender,1.0,29544,Morgan Schneiderlin,Midfielder,1.0,2115,Michael Carrick,Midfielder,0.6664814814814815,25363,Juan Mata,Forward,1.0,110154,Memphis Depay,Forward,0.7568518518518518,8166,Ashley Young,Forward,1.0,3859,Wayne Rooney,Forward,1.0,4567,Bastian Schweinsteiger,Midfielder,0.33351851851851855,71174,Ander Herrera,Forward,0.24314814814814822,18296,Luis Antonio Valencia,Defender,0.09629629629629632,19270,Michel Vorm,Goalkeeper,1.0,69778,Kyle Walker,Defender,1.0,21778,Jan Vertonghen,Defender,1.0,69933,Toby Alderweireld,Defender,1.0,103837,Ben Davies,Defender,1.0,137521,Nabil Bentaleb,Midfielder,0.587407407407407,117973,Eric Dier,Midfielder,0.8585185185185185,12187,Mousa Dembélé,Forward,0.7568518518518518,69344,Christian Eriksen,Forward,1.0,34302,Nacer Chadli,Forward,1.0,83532,Harry Kane,Forward,1.0,69878,Ryan Mason,Midfielder,0.4125925925925926,75830,Erik Lamela,Forward,0.24314814814814822,131519,Dele Alli,Midfielder,0.14148148148148154
958432,23,Newcastle,18,Southampton,22319,Tim Krul,Goalkeeper,1.0,32323,Daryl Janmaat,Defender,1.0,2859,Fabricio Coloccini,Defender,1.0,104368,Chancel Mbemba,Defender,1.0,94892,Massadio Haidara,Defender,1.0,63885,Vurnon Anita,Midfielder,0.7568518518518518,69867,Jack Colback,Midfielder,1.0,29595,Moussa Sissoko,Forward,1.0,33568,Georginio Wijnaldum,Forward,0.9037037037037037,22818,Gabriel Obertan,Forward,1.0,24223,Papiss Demba Cissé,Forward,0.835925925925926,19396,Cheick Tioté,Midfielder,0.24314814814814822,115279,Aleksandar Mitrovic,Forward,0.16407407407407404,32196,Siem de Jong,Forward,0.09629629629629632,4065,Maarten Stekelenburg,Goalkeeper,1.0,69945,Cédric Soares,Defender,0.5083333333333333,37204,Maya Yoshida,Defender,1.0,19859,José Fonte,Defender,1.0,136776,Matt Targett,Defender,1.0,71714,Victor Wanyama,Midfielder,1.0,9734,Steven Davis,Midfielder,1.0,29474,Dusan Tadic,Forward,1.0,109915,Sadio Mané,Forward,1.0,33891,Jay Rodriguez,Forward,0.7342592592592592,17909,Graziano Pellè,Forward,1.0,43712,Cuco Martina,Defender,0.4916666666666667,13798,Shane Long,Forward,0.26574074074074083,,,,0.0
958433,168,Norwich,162,Crystal Palace,8643,John Ruddy,Goalkeeper,1.0,6128,Steven Whittaker,Defender,1.0,19247,Sebastien Bassong,Defender,1.0,8684,Russell Martin,Defender,1.0,93473,Robbie Brady,Defender,1.0,9342,Alexander Tettey,Midfielder,1.0,23273,Jonny Howson,Forward,1.0,19541,Wes Hoolahan,Forward,1.0,15782,Graham Dorrans,Forward,0.8924074074074073,12490,Bradley Johnson,Forward,1.0,19736,Lewis Grabban,Forward,0.598703703703703,10737,Cameron Jerome,Forward,0.40129629629629626,17885,Gary Hooper,Forward,0.10759259259259268,,,,0.0,38577,Alex McCarthy,Goalkeeper,1.0,43105,Joel Ward,Defender,1.0,8466,Damien Delaney,Defender,1.0,12124,Scott Dann,Defender,1.0,79970,Pape Souaré,Defender,1.0,85059,Wilfried Zaha,Midfielder,0.802037037037,12376,Yohan Cabaye,Midfielder,1.0,20339,James McArthur,Midfielder,1.0,9156,Jason Puncheon,Midfielder,1.0,43742,Jordon Mutch,Forward,0.8133333333333334,21427,Glenn Murray,Forward,0.9149999999999999,69844,Yannick Bolasie,Midfielder,0.1979629629629629,13727,Mile Jedinak,Forward,0.18666666666666665,73382,Connor Wickham,Forward,0.08500000000000008
958434,96,Stoke,26,Liverpool,107395,Jack Butland,Goalkeeper,1.0,4574,Glen Johnson,Defender,1.0,75177,Marc Muniesa,Defender,1.0,38772,Geoff Cameron,Defender,1.0,24148,Erik Pieters,Defender,0.50833333333333,8505,Glenn Whelan,Midfielder,1.0,85470,Marco van Ginkel,Midfielder,1.0,3860,Jonathan Walters,Forward,1.0,8327,Charlie Adam,Forward,1.0,12480,Ibrahim Afellay,Forward,0.8698148148148148,26013,Mame Biram Diouf,Forward,1.0,86173,Philipp Wollscheid,Defender,0.4916666666666667,7719,Peter Odemwingie,Forward,0.13018518518518518,,,,0.0,52197,Simon Mignolet,Goalkeeper,1.0,69375,Nathaniel Clyne,Defender,1.0,29106,Dejan Lovren,Defender,1.0,19840,Martin Skrtel,Defender,1.0,136451,Joseph Gomez,Defender,1.0,68659,Jordan Henderson,Midfielder,1.0,4511,James Milner,Midfielder,1.0,105797,Jordon Ibe,Forward,0.8698148148148148,80767,Philippe Coutinho,Forward,1.0,21683,Adam Lallana,Forward,0.700370370370370,68312,Christian Benteke,Forward,1.0,111212,Emre Can,Forward,0.2996296296296297,96182,Roberto Firmino,Forward,0.13018518518518518,,,,0.0
958435,175,West Brom,167,Man City,8462,Boaz Myhill,Goalkeeper,1.0,70285,James Chester,Defender,1.0,8137,Joleon Lescott,Defender,1.0,73063,Craig Dawson,Defender,1.0,8507,Chris Brunt,Defender,1.0,14038,Craig Gardner,Midfielder,1.0,5835,Darren Fletcher,Midfielder,1.0,10498,James Morrison,Midfielder,1.0,76050,James McClean,Midfielder,0.5083333333333,94024,Saido Berahino,Forward,0.8924074074074073,8409,Rickie Lambert,Forward,0.8246296296296296,35691,Claudio Yacob,Midfielder,0.4916666666666667,14114,Victor Anichebe,Forward,0.1753703703703704,74885,Callum McManaman,Forward,0.10759259259259268,8786,Joe Hart,Goalkeeper,1.0,19471,Bacary Sagna,Defender,1.0,10136,Vincent Kompany,Defender,1.0,68852,Eliaquim Mangala,Defender,1.0,12267,Aleksandar Kolarov,Defender,1.0,19119,Fernandinho,Midfielder,1.0,14053,Yaya Touré,Midfielder,0.8924074074074073,9446,Jesús Navas,Forward,1.0,14102,David Silva,Forward,1.0,97692,Raheem Sterling,Forward,0.8246296296296296,42705,Wilfried Bony,Forward,0.7003703703703703,14260,Sergio Agüero,Forward,0.2996296296296297,13298,Samir Nasri,Forward,0.1753703703703704,5840,Martín Demichelis,Midfielder,0.10759259259259268
