match_id, home_goals, away_goals
1190174,4,3
1190175,0,2
1190176,2,3
1190177,0,3
1190178,1,0
1190179,4,0
1190180,0,2
1190181,0,0
1190182,3,3
1190183,1,0
1190184,0,2
1190185,0,1
1190186,1,0
1190187,2,0
1190188,1,0
1190189,1,1
1190190,1,0
1190191,0,0
1190192,0,1
1190193,0,0
1190194,1,1
1190195,4,0
1190196,1,1
1190197,2,0
1190198,4,0
1190199,3,0
1190200,2,1
1190201,1,1
1190202,0,0
1190203,0,0
1190204,0,6
1190205,1,1
1190206,0,4
1190207,0,0
1190208,3,0
1190209,1,2
1190210,2,0
1190211,3,1
1190212,3,0
1190213,1,0
1190214,1,0
1190215,1,2
1190216,0,0
1190217,0,3
1190218,2,0
1190219,2,1
1190220,1,2
1190221,0,2
1190222,2,3
1190223,5,0
1190224,2,5
1190225,0,2
1190226,2,1
1190227,2,2
1190228,3,0
1190229,0,1
1190230,1,0
1190231,1,0
1190232,1,2
1190233,1,2
1190234,4,1
1190235,0,3
1190236,2,1
1190237,5,0
1190238,2,0
1190239,0,1
1190241,2,1
1190242,1,1
1190243,0,4
1190244,1,0
1190245,1,2
1190246,2,2
1190247,2,3
1190248,2,0
1190249,2,0
1190250,3,0
1190251,0,0
1190252,1,0
1190253,0,1
1190254,0,1
1190255,0,1
1190256,2,3
1190257,0,4
1190258,1,0
1190259,4,0
1190260,3,2
1190261,1,1
1190262,1,0
1190263,2,1
1190264,2,2
1190265,1,0
1190266,1,1
1190267,1,1
1190268,2,1
1190269,1,1
1190270,0,0
1190271,7,2
1190272,2,2
1190273,2,0
1190274,1,0
1190275,2,0
1190276,1,1
1190277,2,1
1190278,2,2
1190279,5,0
1190280,2,1
1190281,0,2
1190282,1,2
1190283,1,1
1190284,3,0
1190285,0,0
1190286,0,0
1190287,4,1
1190288,2,1
1190289,1,0
1190290,2,0
1190291,2,4
1190292,3,1
1190293,2,2
1190294,0,4
1190295,2,2
1190296,0,1
1190297,2,0
1190298,0,1
1190300,0,1
1190301,1,1
1190302,2,1
1190303,4,0
1190304,2,2
1190305,1,2
1190306,1,2
1190307,2,1
1190308,0,1
1190309,2,3
1190310,1,1
1190311,0,3
1190312,1,0
1190313,1,1
1190314,1,0
1190315,1,3
1190316,1,4
1190317,1,0
1190318,0,3
1190319,1,1
1190320,2,0
1190321,5,1
1190322,4,1
1190324,4,0
1190325,1,0
1190326,0,0
1190327,3,1
1190328,2,2
1190329,1,2
1190330,1,1
1190331,2,0
1190332,1,1
1190333,2,1
1190334,2,1
1190335,2,0
1190336,2,3
1190337,2,1
1190338,2,1
1190339,5,1
1190340,3,3
1190341,2,3
1190342,0,0
1190343,2,1
1190344,2,0
1190345,1,1
1190346,1,0
1190347,3,1
1190348,2,3
1190349,2,0
1190350,1,4
1190351,1,1
1190352,1,1
1190353,1,0
1190354,4,3
1190355,1,1
1190356,5,0
1190357,0,0
1190358,3,0
1190359,1,1
1190360,2,2
1190361,4,1
1190362,1,1
1190363,2,2
1190364,0,1
1190365,2,0
1190366,4,0
1190367,2,0
1190368,5,2
1190369,1,0
1190370,2,2
1190371,4,1
1190372,2,1
1190373,3,0
1190374,2,0
1190375,2,3
1190376,0,0
1190377,1,4
1190378,4,1
1190379,3,0
1190380,2,1
1190381,2,1
1190382,0,4
1190383,3,1
1190384,5,0
1190385,2,0
1190386,0,1
1190387,4,1
1190388,0,0
1190389,0,0
1190390,1,1
1190391,5,1
1190392,0,0
1190393,2,1
1190394,2,0
1190395,1,0
1190396,2,1
1190397,3,0
1190398,3,1
1190399,0,2
1190400,0,0
1190401,0,2
1190402,1,1
1190403,1,1
1190404,0,0
1190405,1,4
1190406,2,0
1190407,1,0
1190408,1,1
1190409,0,3
1190410,1,0
1190411,1,0
1190412,1,2
1190413,2,1
1190414,1,1
1190415,2,0
1190416,1,1
1190417,1,2
1190418,0,3
1190419,0,3
1190420,2,2
1190421,0,2
1190422,3,1
1190423,2,2
1190424,2,2
1190425,3,1
1190426,1,1
1190427,4,1
1190428,1,2
1190429,5,0
1190430,0,3
1190431,1,1
1190432,0,2
1190433,3,1
1190434,2,1
1190435,0,1
1190436,3,0
1190437,1,2
1190438,1,1
1190439,1,1
1190440,3,1
1190441,0,1
1190442,1,1
1190443,4,1
1190444,1,2
1190446,2,1
1190447,0,1
1190448,0,0
1190449,1,0
1190450,0,2
1190451,0,1
1190452,1,0
1190453,2,0
1190454,1,2
1190455,1,0
1190456,1,0
1190457,5,4
1190459,3,2
1190460,3,1
1190461,0,2
1190462,2,2
1190463,0,0
1190464,1,2
1190465,1,2
1190466,3,2
1190467,2,1
1190468,2,2
1190469,1,0
1190470,1,1
1190471,1,2
1190472,1,1
1190473,2,0
1190474,0,0
1190475,0,1
1190476,1,2
1190477,4,0
1190478,2,3
1190479,1,0
1190480,1,2
1190481,1,2
1190482,1,1
1190483,2,1
1190484,0,0
1190485,5,0
1190486,1,1
1190487,0,0
1190488,2,2
1190489,0,0
1190490,5,0
1190491,0,2
1190492,0,0
1190493,2,1
1190494,0,1
1190495,2,1
1190496,0,1
1190497,2,0
1190498,1,4
1190499,3,2
1190500,1,0
1190501,3,0
1190502,0,1
1190503,2,1
1190504,2,3
1190505,1,1
1190506,1,3
1190507,1,0
1190508,1,1
1190509,0,0
1190510,4,1
1190511,3,0
1190512,0,2
1190513,0,2
1190514,1,1
1190515,1,3
1190516,1,1
1190517,1,0
1190518,0,3
1190519,1,0
1190520,4,1
1190521,1,3
1190522,0,3
1190523,0,4
1190524,1,4
1190525,0,0
1190526,1,2
1190527,2,1
1190528,3,3
1190529,1,0
1190530,1,0
1190531,0,1
1190532,0,3
1190533,1,4
1190534,1,0
1190535,0,0
1190536,0,0
1190537,2,1
1190538,2,2
1190539,2,0
1190540,4,2
1190541,4,0
1190542,1,0
1190543,1,1
1190544,0,4
1190545,3,1
1190546,0,0
1190547,3,0
1190548,1,0
1190549,3,1
1190550,1,2
1190551,1,3
1190552,5,0
1190553,1,0
1190240,0,1
1190299,1,0
1190323,1,5
1190445,3,0
1190458,1,1
